"ID","POST_ID","MS_ID","MS_SPACEID","CAP_COLOR","METER_TYPE","SMART_METE","ACTIVESENS","JURISDICTI","ON_OFF_STR","OSP_ID","RATEAREA","SFPARKAREA","STREET_NUM","STREETNAME","STREET_SEG","Location"
"467","561-00138","561-00130","8","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","13","MAIN ST","8627000","(37.792799, -122.396003)"
"2056","324-05053","324-05050","3","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","505","BATTERY ST","2760000","(37.796083, -122.400617)"
"1093","569-23292","569-23290","2","Black","MS","N","N","SFMTA","ON","0","MC3"," ","2329","MARKET ST","8767101","(37.763258, -122.434087)"
"336","462-18070","-","0","Black","SS","N","N","SFMTA","ON","0","MC3"," ","1807","HAIGHT ST","6624000","(37.769295, -122.452037)"
"2167","596-00381","596-00381","1","Black","MS","N","N","SFMTA","ON","0","MC3"," ","38","OTIS ST","10046000","(37.772483, -122.419598)"
"1766","471-06699","471-06690","9","Black","MS","Y","N","SFMTA","ON","0","MC5","South Embarcadero","669","HARRISON ST","6716000","(37.782667, -122.397071)"
"1091","569-23294","569-23290","4","Black","MS","N","N","SFMTA","ON","0","MC3"," ","2329","MARKET ST","8767101","(37.763245, -122.434104)"
"237","651-00268","651-00260","8","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","26","SANSOME ST","11542000","(37.791012, -122.400633)"
"1898","720-05432","720-05430","2","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","543","WASHINGTON ST","13409000","(37.795491, -122.403044)"
"920","681-07184","681-07180","4","Black","MS","N","N","SFMTA","ON","0","MC1"," ","718","TAYLOR ST","12437000","(37.789419, -122.411947)"
"805","561-02128","561-02120","8","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","212","MAIN ST","8629000","(37.790104, -122.392886)"
"182","469-17500","-","0","Black","SS","N","N","SFMTA","ON","0","MC3"," ","1750","HOLLOWAY AVE","6998201","(37.721012, -122.480442)"
"1259","218-40064","218-40060","4","Black","MS","N","N","SFMTA","ON","0","MC3"," ","4006","18TH ST","891000","(37.760993, -122.434191)"
"705","684-04748","684-04740","8","Black","MS","Y","N","SFMTA","ON","0","MC3"," ","498","TOWNSEND ST","12664000","(37.77375, -122.399422)"
"1465","859-00420","-","0","Black","SS","Y","N","PORT","ON","0","PortMC1"," ","42","NORTH POINT ST","9686000","(37.807335, -122.40808)"
"948","569-19132","569-19130","2","Black","MS","N","N","SFMTA","ON","0","MC3"," ","1913","MARKET ST","8761101","(37.770304, -122.425163)"
"1639","463-00374","463-00370","4","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","37","HAWTHORNE ST","6809000","(37.784969, -122.398115)"
"1225","472-00568","472-00560","8","Black","MS","N","N","SFMTA","ON","0","MC5","Civic Center","56","HYDE ST","7114000","(37.78107, -122.415307)"
