"objectid","ID","STREET","SIDE","LOCATION_","Z_OF_UNMET","LEGISLATIO","DESCRIPTIO","LEG_DATE","shape","data_as_of","analysis_neighborhood","supervisor_district"
"54","20","GREEN ST.","N","E. LARKIN ST.","1","98-96",,"1996-02-01T16:00:00.000000000-08:00","POINT (-122.420178777 37.798194193)","2018-02-09T23:59:20.000000000-08:00","Russian Hill","3"
"3","69","17TH ST","N","E. FOLSOM ST","7","820-01","FROM 43.5' TO 72' E. FOLSOM ST","2001-10-21T17:00:00.000000000-07:00","POINT (-122.414466439 37.763913371)","2018-02-09T23:59:20.000000000-08:00","Mission","9"
"46","28","KAPLAN ST","W","N. CLEMENTINA ST.","17","761-95","FROM 110' TO 170' N. CLEMENTINA","1995-09-27T17:00:00.000000000-07:00","POINT (-122.399285968 37.784991772)","2018-02-12T20:41:58.000000000-08:00","Financial District/South Beach","6"
"102","21","GREEN ST.","N","E. LARKIN ST.","1","98-96","FROM 39' TO 42.5' E. LARKIN ST.","1996-02-01T16:00:00.000000000-08:00","POINT (-122.419843176 37.798154678)","2018-02-09T23:59:20.000000000-08:00","Russian Hill","3"
"76","0","TOWNSEND ST","N","W OF THE EMBARCADERO","4","4008-12","FROM 25-39FT WEST OF EMBARCADER0","2012-01-08T16:00:00.000000000-08:00","POINT (-122.38886141 37.781869326)","2018-02-09T23:59:20.000000000-08:00","Financial District/South Beach","6"
"131","0","OCTAVIA BLVD","E","E OF OCTAVIA BLVD","4","208-07","FROM LINDEN ST TO 14 FEET NORTH","2007-04-23T17:00:00.000000000-07:00","POINT (-122.424433201 37.77634112)","2018-02-12T20:34:10.000000000-08:00","Hayes Valley","5"
"47","71","GOLDEN GATE AVE","S","W. PIERCE ST","2","331-02","FROM 127' TO 136.5' W. PIERCE(9.5' Z","2002-05-30T17:00:00.000000000-07:00","POINT (-122.43624211 37.779896787)","2018-02-12T20:23:11.000000000-08:00","Western Addition","5"
"64","0","OAKWOOD ST","W","W.S.FROM 20 TO 30 OAKWOOD","3",,"20 TO 30 OAKWOOD ST","1899-12-29T16:00:00.000000000-08:00","POINT (-122.425074513 37.761042903)","2018-02-09T23:59:20.000000000-08:00","Mission","8"
"34","0","FOLSOM ST","N","EAST OF 10TH ST","6","171017-131","19 feet to 38 ft east of 10th st","2017-10-16T17:00:00.000000000-07:00","POINT (-122.412750617 37.772932551)","2018-02-12T20:40:47.000000000-08:00","South of Market","6"
"122","1","16TH ST","N","W. DE HARO ST.","14","897-96","FROM DE HARO ST. TO 50' WESTERLY","1996-10-14T17:00:00.000000000-07:00","POINT (-122.402137745 37.766202093)","2018-02-12T20:48:07.000000000-08:00","Mission Bay","6"
